"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"1","Far Cry 5","Mar 26, 2018","$59.99","37% (75%)","542,967 ±23,215","504,796 ±22,385","12:49 (10:15)"
"2","Ni no Kuni II: Revenant Kingdom","Mar 23, 2018","$59.99","68% (88%/84%)","65,177 ±8,047","59,464 ±7,686","17:55 (10:04)"
"3","PixARK","Mar 27, 2018","$19.99","24% (67%)","82,055 ±9,029","77,122 ±8,753","09:25 (04:47)"
"4","Jalopy","Mar 28, 2018","$8.99","54% (83%)","116,591 ±10,762","10,387 ±3,212","02:12 (01:00)"
"5","PC Building Simulator","Mar 27, 2018","$17.99","82% (92%)","23,630 ±4,845","21,293 ±4,599","04:40 (03:25)"
"6","Empires Apart","Mar 29, 2018","$25.49","21% (64%)","3,376 ±1,831","2,597 ±1,606","02:47 (03:31)"
"7","TT Isle of Man","Mar 27, 2018","$39.99","33% (73%)","5,453 ±2,327","4,674 ±2,155","03:43 (03:11)"
"8","Shroud of the Avatar: Forsaken Virtues","Mar 27, 2018","$33.99","11% (53%)","43,884 ±6,603","5,713 ±2,382","20:41 (09:08)"
"9","Pizza Connection 3","Mar 22, 2018","$29.99","3% (37%)","8,829 ±2,961","7,011 ±2,639","04:54 (05:27)"
"10","Surviving Mars","Mar 15, 2018","$39.99","22% (65%/77%)","160,475 ±12,625","140,740 ±11,824","17:05 (08:59)"
"11","Ghost of a Tale","Mar 13, 2018","$24.99","82% (92%/76%)","38,171 ±6,158","15,580 ±3,934","04:17 (02:14)"
"12","Out of the Park Baseball 19","Mar 22, 2018","$39.99","71% (89%)","6,751 ±2,590","6,751 ±2,590","15:45 (11:10)"
"13","SYNTHETIK","Mar 15, 2018","$14.99","74% (90%)","12,724 ±3,555","12,204 ±3,482","08:17 (05:29)"
"14","The Council","Mar 13, 2018","$29.99","68% (88%)","9,608 ±3,089","4,155 ±2,031","02:57 (03:13)"
"15","Devil May Cry HD Collection","Mar 13, 2018","$29.99","57% (84%)","16,878 ±4,095","9,867 ±3,131","06:09 (03:43)"
"16","Robocraft Royale","Mar 26, 2018","Free","3% (36%)","56,867 ±7,516","41,547 ±6,425","00:29 (00:17)"
"17","Warhammer: Vermintide 2","Mar 8, 2018","$29.99","43% (78%/80%)","832,238 ±28,733","649,950 ±25,397","14:45 (08:03)"
"18","BattleRush","Mar 27, 2018","Free","24% (67%)","265,641 ±16,242","28,304 ±5,303","00:40 (00:15)"
"19","Pure Farming 2018","Mar 13, 2018","$29.99","21% (64%/70%)","16,878 ±4,095","11,425 ±3,369","13:33 (04:56)"
"20","The Curse of Monkey Island","Mar 22, 2018","$6.99","92% (95%/89%)","21,033 ±4,571","10,906 ±3,291","02:44 (00:58)"
