名称：Far Cry® 5 	 发行日期：2018年3月26日 	 评级：多半好评 	 评价详情：14,412 篇用户的游戏评测中有 72% 为好评。 
名称：South Park™: The Fractured But Whole™ - From Dusk Till Casa Bonita 	 发行日期：2018年3月20日 	 评级：褒贬不一 	 评价详情：67 篇用户的游戏评测中有 61% 为好评。 
名称：The Crew™ 2 	 发行日期：29/06/2018 	 评级：None 	 评价详情：None 
名称：Discovery Tour by Assassin’s Creed®: Ancient Egypt 	 发行日期：2018年2月20日 	 评级：多半好评 	 评价详情：30 篇用户的游戏评测中有 76% 为好评。 
名称：Brawlhalla - Winter Championship 2018 Pack 	 发行日期：2018年2月14日 	 评级：好评 	 评价详情：38 篇用户的游戏评测中有 97% 为好评。 
名称：South Park™: The Fractured But Whole™ - Danger Deck 	 发行日期：2017年12月19日 	 评级：褒贬不一 	 评价详情：37 篇用户的游戏评测中有 56% 为好评。 
名称：Assassin's Creed® Origins 	 发行日期：2017年10月26日 	 评级：特别好评 	 评价详情：24,053 篇用户的游戏评测中有 85% 为好评。 
名称：Brawlhalla 	 发行日期：2017年10月17日 	 评级：特别好评 	 评价详情：66,150 篇用户的游戏评测中有 85% 为好评。 
名称：South Park™: The Fractured But Whole™ - Season Pass 	 发行日期：2017年10月16日 	 评级：褒贬不一 	 评价详情：25 篇用户的游戏评测中有 40% 为好评。 
名称：South Park™: The Fractured But Whole™ 	 发行日期：2017年10月16日 	 评级：褒贬不一 	 评价详情：4,716 篇用户的游戏评测中有 69% 为好评。 
名称：ATOMEGA 	 发行日期：2017年9月19日 	 评级：多半好评 	 评价详情：555 篇用户的游戏评测中有 79% 为好评。 
名称：MONOPOLY® PLUS 	 发行日期：2017年9月7日 	 评级：多半差评 	 评价详情：556 篇用户的游戏评测中有 39% 为好评。 
名称：Star Trek™: Bridge Crew 	 发行日期：2017年5月30日 	 评级：特别好评 	 评价详情：785 篇用户的游戏评测中有 85% 为好评。 
名称：Trackmania² Lagoon Demo 	 发行日期：2017年5月23日 	 评级：None 	 评价详情：None 
名称：Trackmania² Lagoon 	 发行日期：2017年5月23日 	 评级：褒贬不一 	 评价详情：148 篇用户的游戏评测中有 58% 为好评。 
名称：Steep™ - Winterfest Pack 	 发行日期：2017年5月3日 	 评级：褒贬不一 	 评价详情：86 篇用户的游戏评测中有 43% 为好评。 
名称：Tom Clancy's Ghost Recon® Wildlands 	 发行日期：2017年3月6日 	 评级：多半好评 	 评价详情：24,788 篇用户的游戏评测中有 73% 为好评。 
名称：Tom Clancy’s Ghost Recon® Wildlands - Season Pass Year 1 	 发行日期：2017年3月6日 	 评级：多半差评 	 评价详情：421 篇用户的游戏评测中有 33% 为好评。 
名称：Tom Clancy's The Division Demo 	 发行日期：2017年2月28日 	 评级：None 	 评价详情：None 
名称：Tom Clancy's The Division™ - Last Stand 	 发行日期：2017年2月28日 	 评级：多半差评 	 评价详情：266 篇用户的游戏评测中有 34% 为好评。 
名称：FOR HONOR™ 	 发行日期：2017年2月13日 	 评级：褒贬不一 	 评价详情：25,991 篇用户的游戏评测中有 49% 为好评。 
名称：FOR HONOR™ SEASON PASS 	 发行日期：2017年2月14日 	 评级：褒贬不一 	 评价详情：194 篇用户的游戏评测中有 60% 为好评。 
名称：Watch_Dogs® 2 - Fully Decked Out Bundle 	 发行日期：2017年1月31日 	 评级：None 	 评价详情：None 
名称：Watch_Dogs® 2 - T-Bone Pack 	 发行日期：2017年1月24日 	 评级：多半好评 	 评价详情：50 篇用户的游戏评测中有 74% 为好评。 
名称：Eagle Flight 	 发行日期：2016年12月20日 	 评级：褒贬不一 	 评价详情：142 篇用户的游戏评测中有 67% 为好评。 
名称：Werewolves Within™ 	 发行日期：2016年12月6日 	 评级：多半好评 	 评价详情：81 篇用户的游戏评测中有 71% 为好评。 
名称：Steep™ 	 发行日期：2016年12月2日 	 评级：多半好评 	 评价详情：6,036 篇用户的游戏评测中有 75% 为好评。 
名称：Steep™ - Season Pass 	 发行日期：2016年12月1日 	 评级：褒贬不一 	 评价详情：149 篇用户的游戏评测中有 51% 为好评。 
